,Month,T Max,T Min,Rain
0,Jan,8.274418604651164,2.2069767441860466,125.80465116279069
1,Feb,8.623255813953488,2.246511627906977,91.33720930232559
2,Mar,10.98139534883721,3.818604651162791,92.42093023255813
3,Apr,13.976744186046512,5.316279069767441,66.36279069767441
4,May,17.169767441860465,8.209302325581396,72.97674418604652
5,Jun,19.76511627906977,11.065116279069768,70.84651162790698
6,Jul,21.688372093023258,13.009302325581395,77.51627906976744
7,Aug,21.246511627906976,12.720930232558139,97.59767441860464
8,Sep,18.854545454545455,10.51818181818182,88.56136363636365
9,Oct,15.09772727272727,7.963636363636363,124.6159090909091
10,Nov,11.363636363636362,4.763636363636364,124.52045454545454
11,Dec,9.079545454545457,3.0159090909090907,137.325
